epoch,acc,loss,val_acc,val_loss
0,0.250575,2.0334082536697387,0.3571,1.8239524894714356
1,0.36335,1.7681668292999269,0.3992,1.6767743936538697
2,0.4017,1.65463094329834,0.4347,1.591207935142517
3,0.4288,1.5801164190292358,0.4665,1.4988300636291505
4,0.450575,1.5159623704910279,0.4852,1.449989874267578
5,0.472375,1.462901051902771,0.5085,1.3871414009094238
6,0.49095,1.4108165245056152,0.5233,1.3343711355209351
7,0.511425,1.3636871700286866,0.515,1.363186085510254
8,0.5237,1.327969017982483,0.5586,1.251877865600586
9,0.53705,1.2925405853271483,0.5289,1.333344165611267
10,0.548275,1.2639532651901244,0.5524,1.267330652999878
11,0.562125,1.233876142692566,0.5863,1.1666204662322999
12,0.572075,1.2032232385635375,0.5818,1.1976636045455933
13,0.58125,1.1773465883255005,0.5918,1.1474163780212403
14,0.589175,1.1528604934692384,0.6096,1.1113405279159545
15,0.60095,1.1303449653625488,0.5794,1.181357580947876
16,0.60825,1.1075251776695252,0.6101,1.103738412284851
17,0.619325,1.0827741307258607,0.6324,1.0453291320800782
18,0.625475,1.0619249540328979,0.6119,1.119744972038269
19,0.6329,1.0424646825790405,0.6488,1.0048952991485596
20,0.63815,1.0215605447769165,0.6469,1.0222085357666015
21,0.64505,1.0042759312629699,0.6658,0.964031632232666
22,0.65045,0.9916298454284668,0.6604,0.9709697523117066
23,0.659325,0.9682278784751892,0.6752,0.9351517515182495
24,0.668,0.9524683452606201,0.664,0.9591614046096801
25,0.672225,0.9343122018814087,0.6793,0.9321147130966186
26,0.676175,0.9245138359069824,0.6727,0.9396189506530762
27,0.684825,0.9059429829597473,0.687,0.9022461059570313
28,0.688975,0.8917189237594605,0.7004,0.8683178447723389
29,0.6948,0.8785227163314819,0.6998,0.8799700180053711
30,0.700775,0.861429536151886,0.7028,0.8618963813781738
31,0.7012,0.8559751462936401,0.7026,0.8639557140350341
32,0.7088,0.8374296096801758,0.7006,0.8702366550445557
33,0.71125,0.8255258327484131,0.7117,0.8413636949539185
34,0.718975,0.808307878780365,0.7084,0.8517590589523315
35,0.7212,0.8020482800483704,0.7204,0.8255155445098877
36,0.72495,0.7870032826423645,0.7295,0.7942103500366211
37,0.726675,0.7793232328414917,0.7274,0.8103424949645996
38,0.73215,0.7683774768829346,0.7335,0.7795364715576172
39,0.73815,0.7549436098098755,0.7241,0.8240704246520996
40,0.741275,0.7491586446762085,0.7309,0.7986484432220459
41,0.744975,0.7325992288589478,0.7402,0.7643645095825196
42,0.747225,0.7264591758728027,0.7445,0.751551371383667
43,0.74935,0.7199237752914429,0.7379,0.7781940620422363
44,0.752725,0.7070719276428222,0.7453,0.7528729827880859
45,0.756125,0.7012971548080444,0.7357,0.7673214527130127
46,0.7593,0.6936109808921814,0.751,0.7354524394989014
47,0.7626,0.6857873312950135,0.7492,0.7558959283828736
48,0.76535,0.6736480920791627,0.7507,0.7334102642059326
49,0.768475,0.6667917196273804,0.7542,0.7294441787719727
50,0.772525,0.6595450940132142,0.7556,0.7287561828613282
51,0.772325,0.6484106036186218,0.7554,0.7223629991531372
52,0.775625,0.6456908329963684,0.7575,0.7157589172363281
53,0.7804,0.6356739594459534,0.7635,0.705917201423645
54,0.781,0.628916637134552,0.7603,0.7038487958908081
55,0.7841,0.6215107585906983,0.7648,0.6966812629699707
56,0.78705,0.6152102631568909,0.754,0.7296272609710693
57,0.79035,0.6072523879051208,0.7602,0.7012418291091919
58,0.793975,0.5986143559455872,0.77,0.6915951755523682
59,0.792125,0.5941454300880432,0.7545,0.7299633405685425
60,0.795475,0.5901310609817505,0.767,0.6966060209274292
61,0.796675,0.5865306009292602,0.769,0.691483840560913
62,0.7962,0.5852680974006653,0.7653,0.6939875478744507
63,0.8023,0.5727240918159485,0.763,0.7068902057647705
64,0.803525,0.5652148886680604,0.7708,0.6764038532257081
65,0.80595,0.5600893986701966,0.772,0.6739385326385499
66,0.806,0.5568348304748535,0.7721,0.6918326431274414
67,0.807925,0.5517809077262879,0.7673,0.6897679756164551
68,0.810025,0.5469473670005799,0.7679,0.6868806331634522
69,0.8095,0.5434174294471741,0.7758,0.6697005695343018
70,0.813625,0.538986068725586,0.7723,0.670888302230835
71,0.81665,0.5328738090515137,0.7747,0.6770020788192749
72,0.813975,0.5288386981964112,0.7716,0.6786821594238281
73,0.81685,0.5286934158802032,0.7764,0.6736832643508911
74,0.8224,0.5194289530754089,0.7793,0.6651364295959473
75,0.82315,0.5165263628959655,0.7753,0.6773871608734131
76,0.825325,0.5112951247692108,0.7745,0.685036417388916
77,0.822625,0.512584718990326,0.7767,0.6645918893814087
78,0.826025,0.5053514037132263,0.7774,0.6646129673004151
79,0.826075,0.5061541710853577,0.7771,0.6710800182342529
80,0.827075,0.5034686763763427,0.7747,0.6969643775939941
81,0.825225,0.5056620185852051,0.7746,0.6843847246170044
82,0.82855,0.4947238571166992,0.7802,0.6619434429168701
83,0.83165,0.49314235534667966,0.7845,0.6487256113052369
84,0.830325,0.494767201423645,0.7775,0.6607681781768798
85,0.8303,0.4889156883239746,0.78,0.6708794109344483
86,0.835725,0.48215630826950073,0.7793,0.6674132978439331
87,0.83165,0.48805427951812747,0.7845,0.653321960067749
88,0.838325,0.4715243453025818,0.7812,0.6595538209915162
89,0.836875,0.4763993535995483,0.7868,0.6481501449584961
90,0.83625,0.4767744620323181,0.7807,0.6939821441650391
91,0.839725,0.4672161188602448,0.7835,0.6568587337493896
92,0.839475,0.4718800239086151,0.7834,0.6743469272613526
93,0.841925,0.46594530429840086,0.7885,0.6480916332244873
94,0.84195,0.46514443387985227,0.7861,0.6490861909866333
95,0.842725,0.4599782162666321,0.7832,0.6546970785140991
96,0.84315,0.45952299613952635,0.786,0.653935238647461
97,0.84325,0.4542959420681,0.7883,0.6521854079246521
98,0.8445,0.45484271697998047,0.7844,0.6927807392120361
99,0.845175,0.45619639825820923,0.7897,0.6746549545288086
