epoch,acc,loss,val_acc,val_loss
0,0.6841594935307667,0.9004435154151038,0.7459,0.7401613639831544
1,0.7151128600445038,0.8159617408090208,0.7688,0.6657729330062866
2,0.7354248517289456,0.7608911294541092,0.7751,0.6658469915390015
3,0.7492555241390157,0.7235752079429929,0.7802,0.6358444980621338
4,0.7593208888058858,0.6977570425171284,0.7924,0.6067989457130432
5,0.7669540301779334,0.6789757359395088,0.8026,0.585630769443512
6,0.7722341783208826,0.6642716910743859,0.8074,0.5602370129585266
7,0.777717649703991,0.6519786172971148,0.812,0.5561675779819488
8,0.7815901754240187,0.6402946126853014,0.8152,0.5477428186893463
9,0.7855507456755784,0.6340334534789752,0.8156,0.55176151471138
10,0.7895182177712676,0.6239667861213621,0.8214,0.5359534901618958
11,0.7925258376753421,0.616965125191394,0.8079,0.5579815440177918
12,0.7947248567323338,0.6100311091120353,0.8107,0.5652540507793427
13,0.7972538850244878,0.604665442162014,0.8019,0.5853685269832611
14,0.7994054023651088,0.598204836498425,0.8148,0.5552802400112152
15,0.8008652185717161,0.5947762725365829,0.8153,0.5487816572666169
16,0.8025199569684751,0.5903252550650608,0.8155,0.5564912174224853
17,0.8041559270213953,0.5874462099330794,0.8226,0.5372440793037414
18,0.804694537582334,0.5844785437083331,0.8222,0.5419378880500794
19,0.8051099822192527,0.5839395848994338,0.829,0.5153401048660279
20,0.8056589549811066,0.5822851523797626,0.8186,0.5497378076076508
21,0.8062564125111391,0.5800520921467345,0.8332,0.5033167845487595
22,0.807613986136483,0.5762884739190411,0.8296,0.5179481729030609
23,0.8078614503097491,0.5759283917643874,0.8234,0.5360359829664231
24,0.8081535747308922,0.574734232419783,0.8379,0.4938451928138733
25,0.8086587547874078,0.5731004279190104,0.8271,0.5152719995498657
26,0.8089684317104869,0.5732886314254866,0.8143,0.5556797939062118
27,0.8102712644798876,0.5681595589691226,0.8158,0.5527662883758545
28,0.8104716119582129,0.5687622872999022,0.8239,0.539707138633728
29,0.8104855358960085,0.567487951453952,0.824,0.5305810341835022
30,0.8121277620680163,0.5643403433340304,0.8328,0.500199542760849
31,0.812220039535567,0.5641350288563359,0.8302,0.5022342163085938
