,val_loss,val_acc,loss,acc
0,0.7214744267131784,0.74949924887331,1.137039323493607,0.604594391587381
1,0.6332307251382006,0.7864609414121182,0.8280444467890109,0.7131804025291099
2,0.6333558161854446,0.7910302954431647,0.7125312869474469,0.7527036121196945
3,0.6260266995125552,0.7914684526790186,0.632739729266061,0.779649743332916
4,0.5961655098525178,0.8045505758637957,0.5700724536126771,0.8015147721582374
5,0.661502437475688,0.7973446893787575,0.5163772904381848,0.8206147489670715
6,0.6253775894253863,0.8105908863294943,0.474132149896679,0.8352694221860524
7,0.7052644133254415,0.7958813219829745,0.4385176742085829,0.8478660636033555
8,0.7052953097004859,0.8054268903355033,0.40692359432009056,0.8590619913609615
9,0.7106862070713272,0.8005445668502754,0.3803416133714158,0.8686819291437156
